CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	MINDATE	MINDATE_SHLI	MINDATE_SHOU	FTRD_SHLI	ENDDATE
LUT	CTCP Đầu tư Xây dựng Lương Tài	Luong Tai Construction Jsc	HNX	Industrials	2008/01/04	5550000	2008/01/04	67000	2008/01/04	5550000		5550000	2099/12/31
MAC	CTCP Cung ứng và Dịch vụ kỹ thuật Hàng hải	Marine Supply And Engineering Service Jsc	HNX	Industrials	2009/12/24	3200000	2009/12/24	18900	2009/12/24	3200000		3200000	2099/12/31
MAS	Sân bay Đà Nẵng	Middle Airports Services Jsc	UPC	Consumer Services	2009/09/09	1669115	2009/09/09	20000	2009/09/09	1669115		1669115	2099/12/31
MAX	CTCP KHAI KHOÁNG VÀ CƠ KHÍ HỮU NGHỊ VĨNH SINH	Huu Nghi Vinh Sinh Mining & Mecanic	HNX	Basic Materials	2011/09/15	7200000	2011/09/15	19000	2010/09/15	7200000		7200000	2099/12/31
MAX	CTCP KHAI KHOÁNG VÀ CƠ KHÍ HỮU NGHỊ VĨNH SINH	Huu Nghi Vinh Sinh Mining & Mecanic	UPC	Basic Materials		7200000	2010/09/15	24800				7200000	2011/06/16
MBB	Ngân hàng Thương mại Cổ phần Quân Đội	Military Commercial Joint Stock Bank	HSX	Banks	2011/10/18	730000000	2011/11/01	13800	2011/11/01	730000000		730000000	2099/12/31
MCC	CTCP gạch ngói cao cấp	High – Grade Brick - Tile Co-Operation	HNX	Industrials	2010/04/26	4668300	2010/04/26	30100	2010/04/26	4668300		4668300	2099/12/31
MCF	CTCP Xây lắp Cơ khí Lương thực Thực phẩm	Mechanics Contruction & Foodstuff Jsc	HNX	Consumer Goods	2011/02/14	3500000	2011/02/14	17500	2011/02/14	3500000		3500000	2099/12/31
MCG	CTCP Cơ điện và Xây dựng Việt Nam	Vietnam Mechanization Electrification & Construction Jsc	HSX	Industrials	2009/09/16	13200000	2009/09/24	30000	2009/09/24	13200000		13200000	2099/12/31
MCL	CTCP Phát triển nhà và Sản xuất vật liệu xây dựng Chí Linh	Chi Linh Building Materials And House Development Jsc	HNX	Industrials	2010/12/13	2220000	2010/12/13	20400	2010/12/13	2220000		2220000	2013/10/22
MCO	CTCP MCO Việt Nam	Mco Vietnam Jsc	HNX	Industrials	2006/12/21	1100000	2006/12/21	30800	2006/12/21	1100000		1100000	2099/12/31
MCP	CTCP In và Bao bì Mỹ Châu	My Chau Printing & Packaging Holding Company	HSX	Industrials	2006/12/18	3000000	2006/12/28	40000	2006/12/28	3000000		3000000	2099/12/31
MCV	CTCP Cavico Việt Nam Khai thác Mỏ và Xây dựng 	Cavico Viet Nam Mining And Construction Jsc	HSX	Industrials	2006/11/15	3100000	2006/12/11	42000	2006/12/11	3100000		3100000	2099/12/31
MDC	CTCP Than Mông Dương - TKV	Vinacomin - Mong Duong Coal Jsc	HNX	Basic Materials	2009/07/23	12085000	2009/07/23	24000	2009/07/23	12085000		12085000	2099/12/31
MDF	Công ty cổ phần Gỗ MDF VRG Quảng Trị	Mdf Vrg Quang Tri  Wood Jsc	UPC	Basic Materials	2011/02/25	34445997	2011/02/25		2011/02/25	34445997		34445997	2099/12/31
MDG	CTCP Miền Đông	Mien Dong Jsc	HSX	Industrials	2011/01/05	9900000	2011/01/12	20000	2011/01/12	9900000		9900000	2099/12/31
MEC	CTCP Someco Sông Đà	Song Da Someco Jsc	HNX	Industrials	2006/12/14	1000000	2006/12/14	21500	2006/12/14	1000000		1000000	2099/12/31
MEF	Công ty cổ phần MEINFA	MEINFA Joint Stock Company	UPC	Health Care	2011/09/30	2900000	2011/11/30	34000	2011/11/30	2900000		2900000	2099/12/31
MHC	CTCP Hàng hải Hà Nội	Hanoi Maritime Holding Company	HSX	Industrials	2004/12/31	6705640	2005/03/21	19000	2005/03/21	6705640		6705640	2099/12/31
MHL	CTCP Minh Hữu Liên	Minh Huu Lien Jsc	HNX	Basic Materials	2009/11/26	2000000	2009/11/26	18000	2009/11/26	2000000		2000000	2099/12/31
MIC	CTCP Kỹ nghệ Khoáng sản Quảng Nam	Quang Nam Mineral Industry Corporation	HNX	Basic Materials	2007/12/21	1295000	2007/12/21	286000	2007/12/21	1295000		1295000	2099/12/31
MIH	CTCP Xuất Nhập khẩu Khoáng sản Hà Nam	Ha Nam Import Export Jsc	HNX	Basic Materials	2010/06/29	4000000	2010/06/29	51000	2010/06/29	4000000		4000000	2099/12/31
MIM	CTCP Khoáng sản và Cơ khí	Mineral And Mechanical Jsc	HNX	Basic Materials	2010/08/16	2032895	2010/08/16	35000	2010/08/16	2032895		2032895	2099/12/31
MJC	Thương mại Mộc Hóa	Moc Hoa Trading Jsc	UPC	Consumer Services	2010/07/28	1596620	2010/07/28	20000	2010/07/28	1596620		1596620	2099/12/31
MKP	CTCP Hóa - Dược phẩm MEKOPHAR	Mekophar Chemical Pharmaceutical Jsc	HSX	Health Care	2010/05/17	9210000	2010/06/02	72000	2010/06/02	9210000		9210000	2012/07/12
MKV	CTCP Dược Thú y Cai Lậy	Cai Lay Veterinary Pharmaceutical Jsc	HNX	Health Care	2008/11/21	1000000	2008/11/21	16600	2008/11/21	1000000		1000000	2099/12/31
MMC	CTCP Khoáng sản Mangan	Manganese Mineral Jsc	HNX	Basic Materials	2008/07/28	1200000	2008/07/28	65000	2008/07/28	1200000		1200000	2099/12/31
MNC	CTCP Tập đoàn Mai Linh Bắc Trung Bộ	Mai Linh Corporation In Northern Central	HNX	Industrials	2010/12/16	7017130	2010/12/16	10100	2010/12/16	7017130		7017130	2099/12/31
MPC	CTCP Tập đoàn Thủy sản Minh Phú	Minh Phu Seafood Group Corporation	HSX	Consumer Goods	2006/12/27	60000000	2007/12/20	70000	2006/12/27	60000000		60000000	2099/12/31
MPC	CTCP Tập đoàn Thủy sản Minh Phú	Minh Phu Seafood Group Corporation	HNX	Consumer Goods		60000000	2006/12/27	82000				60000000	2007/12/04
MSN	CTCP Tập đoàn Ma San	Ma San Group Corporation	HSX	Consumer Goods	2009/10/30	476399820	2009/11/05	43200	2009/11/05	476399820		476399820	2099/12/31
MTC	CTCP Khách Sạn Mỹ Trà	MyTra Hotel Joint Stock Company	UPC	Consumer Services	2012/08/12	5200000	2012/08/17	0	2012/08/17	5200000		5200000	2099/12/31
MTG	CTCP MT GAS	Mtgas Jsc	HSX	Utilities	2008/12/31	8000000	2009/01/15	13600	2009/01/15	8000000		8000000	2099/12/31
MTH	Gỗ MDF VRG - Quảng Trị	Ha Dong Environment Public Service Jsc	UPC	Industrials	2011/02/10	1477750	2011/02/10	0	2011/02/10	1477750		1477750	2099/12/31
MTP	Dược Medipharco - Tenamyd	Medipharco - Tenamyd Central Phamarceutical Jsc	UPC	Health Care	2010/09/23	2000000	2010/09/23	27500	2010/09/23	2000000		2000000	2099/12/31
NAG	CTCP Nagakawa Việt Nam	Nagakawa Viet Nam Jsc	HNX	Industrials	2009/09/22	10000000	2009/09/22	29000	2009/09/22	10000000		10000000	2099/12/31
NAV	CTCP Nam Việt	Nam Viet Jsc	HSX	Industrials	2006/11/30	2500000	2006/12/22	90000	2006/12/22	2500000		2500000	2099/12/31
NBB	CTCP Đầu tư Năm Bảy Bảy	Nbb Investment Corporation	HSX	Financials	2008/11/20	15400000	2009/02/18	21600	2009/02/18	15400000		15400000	2099/12/31
NBC	CTCP Than Núi Béo	Vinacomin - Nui Beo Coal Jsc	HNX	Basic Materials	2006/12/27	6000000	2006/12/27	37000	2006/12/27	6000000		6000000	2099/12/31
NBP	CTCP Nhiệt điện Ninh Bình	Ninh Binh Thermal Power Jsc	HNX	Utilities	2009/08/06	12865500	2009/08/06	27000	2009/08/06	12865500		12865500	2099/12/31
NBS	Công Ty Cổ Phần Bến xe Nghệ An	Nghe An Bus Station Joint Stock Company	UPC	Industrials	2012/08/21	3153200	2012/11/19	0	2012/11/19	3153200		3153200	2099/12/31
NBW	Cấp nước Nhà Bè	Nha Be Water Supply Jsc	UPC	Utilities	2010/05/04	10900000	2010/05/04	0	2010/05/04	10900000		10900000	2099/12/31
ND2	Đầu tư và PT điện Miền Bắc 2	Northern Electricity Development & Investment Jsc No.2	UPC	Utilities	2010/07/22	13200627	2010/07/22	15200	2010/07/22	13200627		13200627	2099/12/31
NDC	Nam Dược	Nam Duoc Jsc	UPC	Health Care	2010/03/11	5680000	2010/03/11	0	2010/03/11	5680000		5680000	2099/12/31
NDN	CTCP Đầu tư phát triển Nhà Đà Nẵng	Danang Housing Investment Development Jsc	HNX	Financials	2011/04/21	9000000	2011/04/21	11400	2011/04/21	9000000		9000000	2099/12/31
NDX	Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng	Danang Housing Development Joint Stock Company	HNX	Industrials	2013/07/17	4120000	2013/07/17		2013/07/17	4120000			2099/12/31
NET	CTCP Bột giặt NET	Net Detergent Jsc	HNX	Consumer Goods	2010/09/15	4500000	2010/09/15	105000	2010/09/15	4500000		4500000	2099/12/31
NGC	CTCP Chế biến Xuất khẩu Ngô Quyền	Ngo Quyen Export Seafood Processing Jsc	HNX	Consumer Goods	2008/03/06	1000000	2008/03/06	30000	2008/03/06	1000000		1000000	2099/12/31
NHA	Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội	Ha Noi South Housing And Urban Development Corporation	HNX	Industrials	2010/07/13	5890000	2010/07/13	45500	2010/07/13	5890000		5890000	2099/12/31
NHC	CTCP Gạch ngói Nhị Hiệp	Nhi Hiep Brick-Tile Co-Operation	HNX	Industrials	2005/12/16	1336061	2009/06/17	15500	2005/12/16	1336061		1336061	2099/12/31
NHC	CTCP Gạch ngói Nhị Hiệp	Nhi Hiep Brick-Tile Co-Operation	HSX	Industrials		1336061	2005/12/16	23000				1336061	2009/06/08
NHN	CTCP Phát triển Đô thị Nam Hà Nội	HanoiSouthern City Development JSC	UPC	Financials	2011/11/10	200000000	2011/11/10	30000	2011/11/10	200000000		200000000	2099/12/31
NHS	CTCP Đường Ninh Hòa	Ninh Hoa Sugar Jsc	HSX	Consumer Goods	2010/06/25	8100000	2010/07/02	38000	2010/07/02	8100000		8100000	2099/12/31
NHW	CTCP Ngô Han	Ngo Han Jsc	HSX	Industrials	2010/01/12	22950627	2010/01/26	26400	2010/01/26	22950627		22950627	2099/12/31
NIS	CTCP Dịch vụ hạ tầng mạng	Network Infrastructure Services Jsc	HNX	Technology	2010/09/16	3000000	2010/09/16	12200	2010/09/16	3000000		3000000	2099/12/31
NKD	Công ty Cổ phần Chế biến Thực phẩm Kinh Đô Miền Bắc	North Kinh Do Food Joint Stock Company	HSX	Consumer Goods			2004/12/15						
NKG	CTCP Thép Nam Kim	Nam Kim Steel Jsc	HSX	Basic Materials	2011/01/10	23000000	2011/01/14	29900	2011/01/14	23000000		23000000	2099/12/31
NLC	CTCP Thuỷ điện Nà Lơi	Naloi Hydropower Jsc	HNX	Utilities	2006/12/14	5000000	2006/12/14	25000	2006/12/14	5000000		5000000	2099/12/31
NLG	CTCP Đầu tư Nam Long	Nam Long Investment Corporation	HSX	Financials	2013/01/25	95513523	2013/04/08	21600					2099/12/31
NNC	CTCP đá Núi Nhỏ	Nui Nho Co-Operation	HSX	Industrials	2010/06/10	8768175	2010/06/23	59000	2010/06/23	8768175		8768175	2099/12/31
NNT	CTCP Cấp Nước Ninh Thuận	Ninh Thuan Water Supply JSC	UPC	Utilities	2012/05/30	5924786	2012/06/22	0	2012/06/22	5924786		5924786	2099/12/31
NOS	Môi trường Đô thị Hà Đông	Northern Shipping Jsc	UPC	Industrials	2011/01/11	11456000	2011/01/11	10000	2011/01/11	11456000		11456000	2099/12/31
NPS	CTCP May Phú Thịnh Nhà Bè	Phu Thinh - Nha Be Garment Jsc	HNX	Consumer Goods	2006/12/27	1059300	2006/12/27	20000	2006/12/27	1059300		1059300	2099/12/31
NSC	CTCP Giống cây trồng Trung Ương	National Seed Jsc	HSX	Consumer Goods	2006/12/01	3000000	2006/12/21	55000	2006/12/21	3000000		3000000	2099/12/31
NSN	CTCP Xây dựng 565	565 Construction – Jsc	HNX	Industrials	2010/05/20	2540644	2010/05/20	21800	2010/05/20	2540644		2540644	2099/12/31
NSP	Công ty Cổ phần Nhựa Sam Phú	Sacom Plastic Corporation	UPC	Basic Materials	2011/01/19	5000000	2011/01/19	10000	2011/01/19	5000000		5000000	2099/12/31
NST	CTCP Ngân Sơn	Ngan Son Jsc	HNX	Consumer Goods	2006/12/29	2790000	2006/12/29	30300	2006/12/29	2790000		2790000	2099/12/31
NT2	Điện lực Nhơn Trạch 2	PetroVietnam Power NhonTrach 2 Jsc	UPC	Utilities	2010/01/22	256000000	2010/01/22	13000	2010/01/22	256000000		256000000	2099/12/31
NTB	CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584	Transport Engineering Construction & Business Investment Stock Company 584	HSX	Financials	2010/05/11	36000000	2010/05/17	37000	2010/05/17	36000000		36000000	2099/12/31
NTL	CTCP Phát triển Đô thị Từ Liêm	Tu Liem Urban Development Jsc	HSX	Financials	2007/12/06	8200000	2007/12/21	270000	2007/12/21	8200000		8200000	2099/12/31
NTP	CTCP Nhựa Thiếu niên Tiền Phong	Tien Phong Plastic Jsc	HNX	Industrials	2006/12/11	14446000	2006/12/11	145300	2006/12/11	14446000		14446000	2099/12/31
NTW	Công ty cổ phần Cấp nước Nhơn Trạch	Nhon Trach Water Supply JSC	UPC	Utilities	2012/02/23	3000000	2012/04/09	0	2012/04/09	3000000		3000000	2099/12/31
NVB	Ngân hàng TMCP Nam Việt	Nam Viet Commercial Joint Stock Bank	HNX	Banks	2010/09/13	100000000	2010/09/13	12100	2010/09/13	100000000		100000000	2099/12/31
NVC	CTCP Nam Vang	Nam Vang Jsc	HNX	Basic Materials	2008/01/24	16000000	2008/01/24	37000	2008/01/24	16000000		16000000	2099/12/31
NVN	CTCP Nhà Việt Nam	House Viet Nam Jsc 	HSX	Financials	2010/02/25	10656800	2010/03/30	28800	2010/03/30	10656800		10656800	2099/12/31
NVT	CTCP Bất Động sản Du lịch Ninh Vân Bay	Ninh Van Bay Real Estate Jsc	HSX	Financials	2010/04/28	50500000	2010/05/07	30000	2010/05/07	50500000		50500000	2099/12/31
OCH	CTCP Khách sạn và Dịch vụ Đại Dương	Ocean Hospitality & Service Jsc	HNX	Consumer Services	2010/10/01	100000000	2010/10/01	26800	2010/10/01	100000000		100000000	2099/12/31
OGC	CTCP Tập Đoàn Đại Dương	Ocean Group Jsc	HSX	Financials	2010/04/16	250000000	2010/05/04	36000	2010/05/04	250000000		250000000	2099/12/31
ONE	CTCP Truyền thông số 1	One Corporation	HNX	Technology	2008/06/25	2000000	2008/06/25	25000	2008/06/25	2000000		2000000	2099/12/31
OPC	CTCP Dược phẩm OPC	Opc Pharmaceutical Jsc	HSX	Health Care	2008/10/20	8190000	2008/10/30	62500	2008/10/30	8190000		8190000	2099/12/31
ORS	CTCP Chứng khoán Phương Đông	Orient Securities Corporation	HNX	Financials	2010/07/12	24000000	2010/07/12	13200	2010/07/12	24000000		24000000	2099/12/31
PAC	CTCP Pin Ắc quy Miền Nam	Dry Cell And Storage Battery Jsc 	HSX	Industrials	2006/11/09	10263000	2006/12/12	40000	2006/12/12	10263000		10263000	2099/12/31
PAN	CTCP Xuyên Thái Bình	Pan Pacific Corporation	HSX	Industrials	2006/12/22	3200000	2010/12/15	19900	2006/12/22	3200000		3200000	2099/12/31
PAN	CTCP Xuyên Thái Bình	Pan Pacific Corporation	HNX	Industrials		3200000	2006/12/22	59500				3200000	2010/11/24
PCG	CTCP Đầu tư Phát triển Gas Đô Thị	PetroVietnam Gas City Investment and Development JSC	HNX	Utilities	2010/12/29	18870000	2010/12/29	12100	2010/12/29	18870000		18870000	2099/12/31
PCT	CTCP Vận tải Dầu khí Cửu Long	Cuu Long Petro Gas Transportation Jsc	HNX	Industrials	2010/08/05	23000000	2011/09/12	7000	2010/08/05	23000000		23000000	2099/12/31
PCT	CTCP Vận tải Dầu khí Cửu Long	Cuu Long Petro Gas Transportation Jsc	UPC	Industrials		23000000	2010/08/05	11200				23000000	2010/08/31
PDC	CTCP Du lịch Dầu khí Phương Đông	Phuong Dong Petroleum Tourism Jsc	HNX	Consumer Services	2009/09/29	15000000	2009/09/29	22000	2009/09/29	15000000		15000000	2099/12/31
PDN	CTCP Cảng Đồng Nai	Dong Nai Port Jsc	HSX	Industrials	2011/08/04	8231998	2011/10/26	30000	2010/06/04	5145000		8231998	2099/12/31
PDN	CTCP Cảng Đồng Nai	Dong Nai Port Jsc	UPC	Industrials	2010/04/06	5145000	2010/06/04	40000				5145000	2011/07/28
PDR	CTCP Phát triển Bất Động sản Phát Đạt	Phat Dat Real Estate Development Corp	HSX	Financials	2010/07/22	130200000	2010/07/30	39500	2010/07/30	130200000		130200000	2099/12/31
PEC	Cơ khí Điện lực	Power Engineering Jsc	UPC	Industrials	2010/10/06	2430000	2010/10/06	26000	2010/10/06	2430000		2430000	2099/12/31
PET	Tổng CTCP Dịch vụ Tổng hợp Dầu khí	Petrovietnam General Services Jsc	HSX	Consumer Services	2007/08/13	25530000	2007/09/12	58000	2007/09/12	25530000		25530000	2099/12/31
PFL	CTCP Dầu khí Đông Đô	Petro Vietnam Finance Land Jsc	HNX	Financials	2010/11/17	50000000	2010/11/17	10900	2010/11/17	50000000		50000000	2099/12/31
PFV	Đầu tư & TM PFV	PFV Investment & Trading Jsc	UPC	Financials	2010/07/23	60000000	2010/07/23	0	2010/06/15	0		60000000	2099/12/31
PGC	CTCP Gas Petrolimex	Petrolimex Gas Jsc	HSX	Utilities	2006/10/20	20000000	2006/11/24	68000	2006/11/24	20000000		20000000	2099/12/31
PGD	CTCP Phân phối Khí thấp Áp Dầu khí Việt Nam	PetroVietNam Low Pressure Gas Distribution Jsc	HSX	Utilities	2009/11/19	33000000	2009/11/26	52000	2009/11/26	33000000		33000000	2099/12/31
PGI	CTCP Bảo hiểm PJICO	Petrolimex Jsc	HSX	Financials	2011/06/08	70974218	2011/07/22	10300	2011/07/29	70974218		70974218	2099/12/31
PGS	CTCP Kinh doanh Khí hoá Lỏng miền Nam	PetroVietNam Southern Gas Jsc	HNX	Utilities	2007/11/15	15000000	2007/11/15	71900	2007/11/15	15000000		15000000	2099/12/31
PGT	CTCP Taxi Gas Sài Gòn Petrolimex	Saigon Petrolimex Gas Taxi Jsc	HNX	Consumer Services	2009/12/25	8802187	2009/12/25	11800	2009/12/25	8802187		8802187	2099/12/31
PHC	CTCP Xây dựng Phục Hưng Holdings	Constrexim - Phuc Hung Investment Construction And Import - Export Jsc	HNX	Industrials	2009/11/05	2940000	2009/11/05	35000	2009/11/05	2940000		2940000	2099/12/31
PHH	CTCP Hồng Hà Dầu khí	Hong Ha Petroleum Jsc	HNX	Industrials	2010/03/17	5000000	2010/03/17	40000	2010/03/17	5000000		5000000	2099/12/31
PHR	CTCP Cao su Phước Hòa	Phuoc Hoa Rubber Jsc	HSX	Basic Materials	2009/08/04	81300000	2009/08/18	43200	2009/08/18	81300000		81300000	2099/12/31
PHS	CTCP Chứng khoán Phú Hưng	Fortunes Securities Corporation	HNX	Financials	2010/06/09	30000000	2010/06/09	21000	2010/06/09	30000000		30000000	2099/12/31
PHT	CTCP Sản xuất và Thương mại Phúc Tiến	Phuc Tien Trade Manufacture Jsc	HSX	Basic Materials	2009/09/18	11000000	2009/09/28	30000	2009/09/28	11000000		11000000	2013/01/24
PID	Công ty Cổ phần Trang trí Nội thất Dầu khí	Petroleum Interior Decoration JSC	HNX	Industrials	2012/11/22	4000000	2012/11/22	6500	2012/11/22	4000000		4000000	2099/12/31
PIT	CTCP Xuất nhập khẩu PETROLIMEX	Petrolimex International Trading Jsc	HSX	Consumer Services	2008/01/09	9770479	2008/01/24	52000	2008/01/24	9770479		9770479	2099/12/31
PIV	CTCP PIV	Piv Petro Investment And Valuation Jsc	HNX	Financials	2010/08/18	1200000	2010/08/18	20400	2010/08/18	1200000		1200000	2099/12/31
PJC	CTCP Thương mại và Vận tải Petrolimex Hà Nội	Petrolimex Hanoi Transportation And Trading Jsc	HNX	Industrials	2006/12/25	1563150	2006/12/25	25200	2006/12/25	1563150		1563150	2099/12/31
PJS	CTCP Cấp nước Phú Hòa Tân	Phu Hoa Tan Water Supply JSC	UPC	Utilities	2011/12/05	9000000	2011/12/05	15000	2011/12/05	9000000		9000000	2099/12/31
PJT	CTCP Vận tải Xăng dầu Đường thủy Petrolimex	Petrolimex Joint Stock Tanker Company	HSX	Industrials	2006/12/11	3500000	2006/12/28	45000	2006/12/28	3500000		3500000	2099/12/31
PLC	CTCP Hoá dầu Petrolimex	Petrolimex Petrochemical Jsc	HNX	Basic Materials	2006/12/27	15000000	2006/12/27	65000	2006/12/27	15000000		15000000	2099/12/31
PMC	CTCP Dược phẩm Dược liệu Pharmedic	Pharmedic Pharmaceutical Medicinal Jsc	HNX	Health Care	2009/10/09	6481634	2009/10/09	85000	2009/10/09	6481634		6481634	2099/12/31
PMS	CTCP Cơ khí Xăng Dầu	Petroleum Mechanical Stock Company	HNX	Industrials	2003/11/04	3200000	2009/06/08	15900	2003/11/04	3200000		3200000	2099/12/31
PMS	CTCP Cơ khí Xăng Dầu	Petroleum Mechanical Stock Company	HSX	Industrials		3200000	2003/11/04	14500				3200000	2009/05/29
PMT	Vật liệu Bưu điện	Postal Material Jsc	UPC	Technology	2010/07/22	5000000	2010/07/22	15100	2010/07/22	5000000		5000000	2099/12/31
PNC	CTCP Văn Hóa Phương Nam	Phuong Nam Cultural JCC 	HSX	Consumer Services	2005/06/21	3000000	2005/07/11	16000	2005/07/11	3000000		3000000	2099/12/31
PNJ	CTCP Vàng bạc Đá quý Phú Nhuận	Phu Nhuạn Jewelry Jsc	HSX	Consumer Goods	2008/12/26	30000000	2009/03/23	45600	2009/03/23	30000000		30000000	2099/12/31
POM	CTCP Thép Pomina	Pomina Steel Corporation	HSX	Basic Materials	2010/04/07	163000000	2010/04/20	48000	2010/04/20	163000000		163000000	2099/12/31
POT	CTCP Thiết bị Bưu điện	Post And Telecommunication Equipment Jsc	HNX	Technology	2006/12/20	14998600	2006/12/20	61800	2006/12/20	14998600		14998600	2099/12/31
POV	PV Oil Vũng Áng	Vung Ang Petroleum Jsc	UPC	Utilities	2010/09/23	10000000	2010/09/23	0	2010/09/23	10000000		10000000	2099/12/31
PPC	CTCP Nhiệt điện Phả Lại	Pha Lai Thermal Power Jsc	HSX	Utilities	2006/05/19	310700000	2007/01/26	105000	2006/05/19	310700000		310700000	2099/12/31
PPC	CTCP Nhiệt điện Phả Lại	Pha Lai Thermal Power Jsc	HNX	Utilities		307196006	2006/05/19	36900				307196006	2007/01/11
PPE	CTCP Tư vấn Điện lực Dầu khí Việt Nam	Petrovietnam Power Engineering Consulting Jsc	HNX	Industrials	2011/09/21	2000000	2011/09/21	8100	2011/09/21	2000000		2000000	2099/12/31
PPG	CTCP Sản xuất Thương mại Dịch vụ Phú Phong	Phu Phong Corporation	HNX	Industrials	2006/12/20	4000000	2006/12/20	48500	2006/12/20	4000000		4000000	2099/12/31
PPI	CTCP Phát triển hạ tầng & Bất động sản Thái Bình Dương	Pacific Property And Infrastructure Development And Investment Jsc	HSX	Financials	2010/04/02	10014753	2010/04/12	38400	2010/04/12	10014753		10014753	2099/12/31
PPP	CTCP Dược phẩm Phong Phú	Phong Phu Pharmaceutial Jsc	HNX	Health Care	2009/06/24	2200000	2011/07/18	10500	2009/06/24	2200000		2200000	2099/12/31
PPP	CTCP Dược phẩm Phong Phú	Phong Phu Pharmaceutial Jsc	UPC	Health Care		2200000	2009/06/24	17300				2200000	2011/07/08
PPS	CTCP Điện lực Kỹ thuật Dầu khí Việt Nam	Petrovietnam Power Services Jsc	HNX	Industrials	2011/01/07	15000000	2011/01/07	13400	2011/01/07	15000000		15000000	2099/12/31
PRC	CTCP Portserco	Portserco Jsc	HNX	Industrials	2010/11/29	1200000	2010/11/29	25800	2010/11/29	1200000		1200000	2099/12/31
PSB	Sao Mai Bến Đình	Sao Mai - Ben Dinh Petroleum Investment Jsc	UPC	Industrials	2010/02/25	50000000	2010/02/25	11000	2010/02/25	50000000		50000000	2099/12/31
PSC	CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn	Petrolimex Saigon Transportation And Service Jsc	HNX	Industrials	2006/12/29	1290000	2006/12/29	38600	2006/12/29	1290000		1290000	2099/12/31
PSG	CTCP Đầu tư và Xây lắp Dầu khí Sài Gòn	Sai Gon Petroleum Construction And Investment Jsc	HNX	Industrials	2011/03/15	35000000	2011/03/15	9000	2011/03/15	35000000		35000000	2099/12/31
PSI	CTCP Chứng khoán Dầu khí	PetroVietnam Securities Incorporated	HNX	Financials	2010/07/20	48500000	2010/07/21	19700	2010/07/21	48500000		48500000	2099/12/31
PSL	Chăn nuôi Phú Sơn	Phu Son Livestock Jsc	UPC	Consumer Goods	2010/05/17	4500000	2010/05/17	0	2010/05/17	4500000		4500000	2099/12/31
PSP	Cảng Đình Vũ	Dinh Vu Petroleum Service Port Jsc	UPC	Industrials	2009/11/10	22500000	2009/11/10	25000	2009/11/10	22500000		22500000	2099/12/31
PTB	CTCP Phú Tài	Phu Tai Jsc	HSX	Industrials	2011/05/20	8599760	2011/07/22	16000	2011/07/22	8599760		8599760	2099/12/31
PTC	CTCP Đầu tư và Xây dựng Bưu Điện	Post And Telecommunications Investment And Construction Jsc	HSX	Industrials	2006/12/25	10000000	2008/12/15	10000	2006/12/25	5000000		10000000	2099/12/31
PTC	CTCP Đầu tư và Xây dựng Bưu Điện	Post And Telecommunications Investment And Construction Jsc	HNX	Industrials		5000000	2006/12/25	46800				5000000	2008/11/20
PTD	Thiết kế - XD - TM Phúc Thịnh	Phuc Thinh Design Construction Trading Corporation	UPC	Industrials	2011/01/14	1000000	2011/01/14	11100	2011/01/14	1000000		1000000	2099/12/31
PTG	May Phan Thiết	Phan Thiet Gamex Export Jsc	UPC	Consumer Goods	2010/01/04	1516540	2010/01/04	0	2010/01/04	1516540		1516540	2099/12/31
PTH	Vận tải và DV Petrolimex Hà Tây	Ha Tay Petrolimex Transportation And Services Jsc	UPC	Utilities	2010/03/23	1600000	2010/03/23	0	2010/03/23	1600000		1600000	2099/12/31
PTI	Tổng CTCP Bảo hiểm Bưu điện	Post - Telecommunication Joint - Stock Insurance Corporation	HNX	Financials	2011/03/02	45000000	2011/03/02	14600	2011/03/02	45000000		45000000	2099/12/31
PTK	CTCP Luyện Kim Phú Thịnh	Phu Thinh Metallurgy JSC	HSX	Basic Materials	2012/09/14	21600000	2012/09/25	14400	2012/09/25	21600000		21600000	2099/12/31
PTL	CTCP đầu tư hạ tầng và đô thị dầu khí PVC	Petro Capital and infrastructure Investment Jsc	HSX	Financials	2010/09/15	100000000	2010/09/22	20000	2010/09/22	100000000		100000000	2099/12/31
PTM	CTCP SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ Ô TÔ PTM	The Precision Tools And Cnc Machine Jsc	HNX	Industrials	2009/01/16	1302300	2009/01/16	11900	2009/01/16	1302300		1302300	2099/12/31
PTP	Viễn Thông và In Bưu điện	Post Printing & Telecomunication Services Jsc	UPC	Consumer Services	2009/12/10	6800000	2009/12/10	25000	2009/12/10	6800000		6800000	2099/12/31
PTS	CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng	Haiphong Petrolimex Transportation And Services Jsc	HNX	Industrials	2006/12/01	1740000	2006/12/01	27100	2006/12/01	1740000		1740000	2099/12/31
PTT	Vận tải Dầu khí Đông Dương	Indochina Petroleum Transportation Jsc	UPC	Industrials	2010/04/29	10000000	2010/04/29	0	2010/04/29	10000000		10000000	2099/12/31
