CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	MINDATE	MINDATE_SHLI	MINDATE_SHOU	FTRD_SHLI	ENDDATE
HPS	CTCP Đá Xây dựng Hoà Phát	Hoa Phat Construction Stone Jsc	HNX	Industrials	2006/12/25	1565250	2006/12/25	15000	2006/12/25	1565250		1565250	2099/12/31
HPT	DV Công nghệ Tin học HPT	Hpt Viet Nam Corporation	UPC	Technology	2010/06/17	5989299	2010/06/17	18500	2010/06/17	5989299		5989299	2099/12/31
HQC	CTCP Tư vấn – Thương mại – Dịch vụ Địa ốc Hoàng Quân	Hoang Quan Consulting – Trading – Service Real Estate Corporation 	HSX	Financials	2010/10/12	40000000	2010/10/20	31000	2010/10/20	40000000		40000000	2099/12/31
HRC	CTCP Cao su Hòa Bình	Hoa Binh Rubber Jsc	HSX	Basic Materials	2006/11/22	9600000	2006/12/26	142000	2006/12/26	9600000		9600000	2099/12/31
HSG	CTCP Tập đoàn Hoa Sen	Hoa Sen Group	HSX	Basic Materials	2008/11/05	57038500	2008/12/05	32000	2008/12/05	57038500		57038500	2099/12/31
HSI	CTCP Vật tư Tổng hợp và Phân bón Hóa sinh	General Materials Biochemistry Fertilizer Jsc 	HSX	Basic Materials	2007/12/12	10000000	2007/12/21	45000	2007/12/21	10000000		10000000	2099/12/31
HST	CTCP Phát hành sách và Thiết bị trường học Hưng Yên	Hung Yen Book Publishing And Educational Equipment Jsc	HNX	Consumer Services	2009/12/29	1500000	2009/12/29	13000	2009/12/29	1500000		1500000	2099/12/31
HT1	CTCP Xi măng Hà Tiên 1	Ha Tien 1 Cement Jsc	HSX	Industrials	2007/10/31	87000000	2007/11/13	60500	2007/11/13	87000000		87000000	2099/12/31
HT2	Công ty Cổ phần Xi măng Hà Tiên 2	Ha Tien 2 Cement Joint Stock Company	HSX	Industrials									
HTB	CTCP Xây dựng Huy Thắng	Huy Thang Construction Jsc	HNX	Industrials	2010/10/19	1800000	2010/10/19	13700	2010/10/19	1800000		1800000	2099/12/31
HTC	CTCP Thương mại Hóc Môn	Hocmon Trade Jsc	HNX	Utilities	2010/05/07	3500000	2010/05/07	74000	2010/05/07	3500000		3500000	2099/12/31
HTI	CTCP Đầu tư Phát triển Hạ tầng IDICO	Idico Infrastructure Development Investment Jsc	HSX	Industrials	2010/12/09	24949200	2010/12/20	20000	2010/12/20	24949200		24949200	2099/12/31
HTL	CTCP Kỹ thuật và Ô tô Trường Long	Truong Long Engineering And Auto Jsc	HSX	Consumer Goods	2010/10/19	8000000	2011/01/10	23500	2011/01/10	8000000		8000000	2099/12/31
HTP	CTCP In sách Giáo khoa Hoà Phát	Hoaphat Textbook Printing Jsc	HNX	Consumer Services	2006/12/14	900000	2006/12/14	27600	2006/12/14	900000		900000	2099/12/31
HTV	CTCP Vận tải Hà Tiên	Ha Tien Transport Jsc 	HSX	Industrials	2005/12/07	4800000	2006/01/05	17000	2006/01/05	4800000		4800000	2099/12/31
HU1	CTCP đầu tư và xây dựng HUD1	Hud1 Investment & Construction Jsc	HSX	Industrials	2011/10/20	10000000	2011/11/03	10900	2010/05/25	5000000		10000000	2099/12/31
HU1	CTCP đầu tư và xây dựng HUD1	Hud1 Investment & Construction Jsc	UPC	Industrials	2010/05/25	5000000	2010/05/25	20000				5000000	2011/10/05
HU3	CTCP đầu tư và xây dựng HUD3	Hud3 Investment And Construction Jsc	HSX	Industrials	2011/03/02	9999944	2011/03/18	23000	2011/03/18	9999944		9999944	2099/12/31
HUT	CTCP Tasco	Tasco Jsc	HNX	Industrials	2008/04/04	5500000	2008/04/11	31500	2008/04/11	5500000		5500000	2099/12/31
HVC	Công ty Cổ phần Hưng Vượng	Prosper Jsc	UPC	Basic Materials	2010/10/27	6920750	2010/10/27	10000	2010/10/27	6920750		6920750	2099/12/31
