id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	NXT_DATES
20013	PVNCOTREUR	PVN ALL SHARE TR CONTINUOUS (EUR)	EUR	1000	R	PVNCOPRVND	1.03448E+12	1283874581	1067.37	9/13/2012	0:00:00	26	1	0	1020.97	0	0	  	  	Benchmark	29810.68	
20014	PVNHSXPRVND	PVN ALLSHARE HSX 	VND	1000	P	PVNHSXPRVND	2.5E+13	4.40405E+13	1761.62	9/13/2012	0:00:00	11	1	0	1079.52	0	0	  	  	Benchmark	1	
20015	PVNHSXPRUSD	PVN ALLSHARE HSX (USD)	USD	1000	P	PVNHSXPRVND	1190476190	2011899717	1690	9/13/2012	0:00:00	11	1	0	1086.46	0	0	  	  	Benchmark	21890	
20016	PVNHSXPRJPY	PVN ALLSHARE HSX (JPY)	JPY	1000	P	PVNHSXPRVND	94339622642	1.56172E+11	1655.42	9/13/2012	0:00:00	11	1	0	1059.52	0	0	  	  	Benchmark	282	
20017	PVNHSXPREUR	PVN ALLSHARE HSX (EUR)	EUR	1000	P	PVNHSXPRVND	862068965.5	1477339155	1713.71	9/13/2012	0:00:00	11	1	0	1086.86	0	0	  	  	Benchmark	29810.68	
20018	PVNHSXTRVND	PVN ALLSHARE HSX TR 	VND	1000	R	PVNHSXPRVND	2.5E+13	4.40405E+13	1785.32	9/13/2012	0:00:00	11	1	0	1094.05	0	0	  	  	Benchmark	1	
20019	PVNHSXTRUSD	PVN ALLSHARE HSX TR (USD)	USD	1000	R	PVNHSXPRVND	1.19048E+12	2011899717	1712.55	9/13/2012	0:00:00	11	1	0	1100.96	0	0	  	  	Benchmark	21890	
20020	PVNHSXTRJPY	PVN ALLSHARE HSX TR (JPY)	JPY	1000	R	PVNHSXPRVND	94339622642	1.56172E+11	1678.76	9/13/2012	0:00:00	11	1	0	1074.46	0	0	  	  	Benchmark	282	
20021	PVNHSXTREUR	PVN ALLSHARE HSX TR (EUR)	EUR	1000	R	PVNHSXPRVND	8.62069E+11	1477339155	1737.75	9/13/2012	0:00:00	11	1	0	1102.1	0	0	  	  	Benchmark	29810.68	
20022	PVNHNXPRVND	PVN ALLSHARE HNX 	VND	1000	P	PVNHNXPRVND	8E+12	8.16894E+12	1021.12	9/13/2012	0:00:00	15	1	0	1048.22	0	0	  	  	Benchmark	1	
20023	PVNHNXPRUSD	PVN ALLSHARE HNX (USD)	USD	1000	P	PVNHNXPRVND	380952381	373181585.8	979.6	9/13/2012	0:00:00	15	1	0	1055.24	0	0	  	  	Benchmark	21890	
20024	PVNHNXPRJPY	PVN ALLSHARE HNX (JPY)	JPY	1000	P	PVNHNXPRVND	30188679245	28967889762	959.56	9/13/2012	0:00:00	15	1	0	1028.91	0	0	  	  	Benchmark	282	
20025	PVNHNXPREUR	PVN ALLSHARE HNX (EUR)	EUR	1000	P	PVNHNXPRVND	275862069	274027459.7	993.35	9/13/2012	0:00:00	15	1	0	1056	0	0	  	  	Benchmark	29810.68	
20026	PVNHNXTRVND	PVN ALLSHARE HNX TR 	VND	1000	R	PVNHNXPRVND	8E+12	8.16894E+12	1065.15	9/13/2012	0:00:00	15	1	0	1093.42	0	0	  	  	Benchmark	1	
20027	PVNHNXTRUSD	PVN ALLSHARE HNX TR (USD)	USD	1000	R	PVNHNXPRVND	3.80952E+11	373181585.8	1020.87	9/13/2012	0:00:00	15	1	0	1099.69	0	0	  	  	Benchmark	21890	
20028	PVNHNXTRJPY	PVN ALLSHARE HNX TR (JPY)	JPY	1000	R	PVNHNXPRVND	30188679245	28967889762	1001.01	9/13/2012	0:00:00	15	1	0	1073.35	0	0	  	  	Benchmark	282	
20029	PVNHNXTREUR	PVN ALLSHARE HNX TR (EUR)	EUR	1000	R	PVNHNXPRVND	2.75862E+11	274027459.7	1035.49	9/13/2012	0:00:00	15	1	0	1100.8	0	0	  	  	Benchmark	29810.68	
20030	PVNBMPRVND	PVN BASIC MATERIALS 	VND	1000	P	PVNBMPRVND	1E+13	1.48038E+13	1480.38	9/13/2012	0:00:00	1	1	0	1344.23	0	0	  	  	Sectors	1	
20031	PVNBMPRUSD	PVN BASIC MATERIALS (USD)	USD	1000	P	PVNBMPRVND	476190476.2	676281014.5	1420.19	9/13/2012	0:00:00	1	1	0	1353.54	0	0	  	  	Sectors	21890	
20032	PVNBMPRJPY	PVN BASIC MATERIALS (JPY)	JPY	1000	P	PVNBMPRVND	37735849057	52495714213	1391.14	9/13/2012	0:00:00	1	1	0	1320.03	0	0	  	  	Sectors	282	
20033	PVNBMPREUR	PVN BASIC MATERIALS (EUR)	EUR	1000	P	PVNBMPRVND	344827586.2	496593550	1440.12	9/13/2012	0:00:00	1	1	0	1353.5	0	0	  	  	Sectors	29810.68	
20034	PVNCSPRVND	PVN CONSUMER SERVICES 	VND	1000	P	PVNCSPRVND	1E+13	7.88159E+11	78.82	9/13/2012	0:00:00	1	1	0	85.25	0	0	  	  	Sectors	1	
20035	PVNCSPRUSD	PVN CONSUMER SERVICES (USD)	USD	1000	P	PVNCSPRVND	476190476.2	36005416.17	75.61	9/13/2012	0:00:00	1	1	0	85.93	0	0	  	  	Sectors	21890	
20036	PVNCSPRJPY	PVN CONSUMER SERVICES (JPY)	JPY	1000	P	PVNCSPRVND	37735849057	2794888511	74.06	9/13/2012	0:00:00	1	1	0	83.04	0	0	  	  	Sectors	282	
20037	PVNCSPREUR	PVN CONSUMER SERVICES (EUR)	EUR	1000	P	PVNCSPRVND	344827586.2	26438798.44	76.67	9/13/2012	0:00:00	1	1	0	85.26	0	0	  	  	Sectors	29810.68	
20038	PVNFIPRVND	PVN FINANCIALS 	VND	1000	P	PVNFIPRVND	1E+13	1.06838E+13	1068.38	9/13/2012	0:00:00	5	1	0	1113.79	0	0	  	  	Sectors	1	
20039	PVNFIPRUSD	PVN FINANCIALS (USD)	USD	1000	P	PVNFIPRVND	476190476.2	488066309.3	1024.94	9/13/2012	0:00:00	5	1	0	1120.91	0	0	  	  	Sectors	21890	
20040	PVNFIPRJPY	PVN FINANCIALS (JPY)	JPY	1000	P	PVNFIPRVND	37735849057	37885714574	1003.97	9/13/2012	0:00:00	5	1	0	1093.81	0	0	  	  	Sectors	282	
20041	PVNFIPREUR	PVN FINANCIALS (EUR)	EUR	1000	P	PVNFIPRVND	344827586.2	358387380.3	1039.32	9/13/2012	0:00:00	5	1	0	1122.01	0	0	  	  	Sectors	29810.68	
20042	PVNINPRVND	PVN INDUSTRIALS 	VND	1000	P	PVNINPRVND	1E+13	1.26959E+13	1269.59	9/13/2012	0:00:00	15	1	0	617.68	0	0	  	  	Sectors	1	
20043	PVNINPRUSD	PVN INDUSTRIALS (USD)	USD	1000	P	PVNINPRVND	476190476.2	579985552.1	1217.97	9/13/2012	0:00:00	15	1	0	621.45	0	0	  	  	Sectors	21890	
20044	PVNINPRJPY	PVN INDUSTRIALS (JPY)	JPY	1000	P	PVNINPRVND	37735849057	45020864306	1193.05	9/13/2012	0:00:00	15	1	0	606.76	0	0	  	  	Sectors	282	
20045	PVNINPREUR	PVN INDUSTRIALS (EUR)	EUR	1000	P	PVNINPRVND	344827586.2	425883734.8	1235.06	9/13/2012	0:00:00	15	1	0	622.12	0	0	  	  	Sectors	29810.68	
20046	PVNOGPRVND	PVN OIL & GAS 	VND	1000	P	PVNOGPRVND	1E+13	1.39577E+13	1395.77	9/13/2012	0:00:00	5	1	0	385.39	0	0	  	  	Sectors	1	
20047	PVNOGPRUSD	PVN OIL & GAS (USD)	USD	1000	P	PVNOGPRVND	476190476.2	637629757.2	1339.02	9/13/2012	0:00:00	5	1	0	388.19	0	0	  	  	Sectors	21890	
20048	PVNOGPRJPY	PVN OIL & GAS (JPY)	JPY	1000	P	PVNOGPRVND	37735849057	49495444628	1311.63	9/13/2012	0:00:00	5	1	0	378.9	0	0	  	  	Sectors	282	
20049	PVNOGPREUR	PVN OIL & GAS (EUR)	EUR	1000	P	PVNOGPRVND	344827586.2	468211908.8	1357.81	9/13/2012	0:00:00	5	1	0	388.26	0	0	  	  	Sectors	29810.68	
20050	PVNUTPRVND	PVN UTILITIES 	VND	1000	P	PVNUTPRVND	1E+13	3.29003E+12	329	9/13/2012	0:00:00	3	1	0	174.56	0	0	  	  	Sectors	1	
20051	PVNUTPRUSD	PVN UTILITIES (USD)	USD	1000	P	PVNUTPRVND	476190476.2	150298172.7	315.63	9/13/2012	0:00:00	3	1	0	175.8	0	0	  	  	Sectors	21890	
20052	PVNUTPRJPY	PVN UTILITIES (JPY)	JPY	1000	P	PVNUTPRVND	37735849057	11666762411	309.17	9/13/2012	0:00:00	3	1	0	170.81	0	0	  	  	Sectors	282	
20053	PVNUTPREUR	PVN UTILITIES TR (EUR)	EUR	1000	P	PVNUTPRVND	344827586.2	110364037.3	320.06	9/13/2012	0:00:00	3	1	0	175.25	0	0	  	  	Sectors	29810.68	
20054	PVNBMTRVND	PVN BASIC MATERIALS TR 	VND	1000	R	PVNBMPRVND	1E+13	1.48038E+13	1521.94	9/13/2012	0:00:00	1	1	0	1381.97	0	0	  	  	Sectors	1	
20055	PVNBMTRUSD	PVN BASIC MATERIALS TR (USD)	USD	1000	R	PVNBMPRVND	4.7619E+11	676281014.5	1459.31	9/13/2012	0:00:00	1	1	0	1390.83	0	0	  	  	Sectors	21890	
