STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
PTT	Indochina Petroleum Transportation	59841300	100	100	11100.000	VND	1	1.00	11100.000	664238430000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	1.12%						0
PXT	Petroleum Pipeline and Tank Construction	27719850	100	100	4200.000	VND	1	1.00	4200.000	116423370000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.20%	1000000000	100	100	22.9	0	1
PXS	Petroleum Equipment Assembly and Metal Structure	50000000	100	100	9400.000	VND	1	1.00	9400.000	470000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.79%						0
PVR	PVN Premier Recreation	35000000	100	100	3600.000	VND	1	1.00	3600.000	126000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.21%						0
PXI	Petroleum Industrial and Civil Construction	30000000	100	100	4000.000	VND	1	1.00	4000.000	120000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.20%						0
PXM	Mientrung Petroleum Construction	18000000	100	100	3200.000	VND	1	1.00	3200.000	57600000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.10%	240000000	100	10	12.2	0	1
PSI	PVN Securities Incorporated	15000000	100	100	3600.000	VND	1	1.00	3600.000	54000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.09%						0
PCT	Cuu Long Petro Gas Service Transportation	15000000	100	100	2900.000	VND	1	1.00	2900.000	43500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.07%						0
PTL	Petro Capital and Infrastructure Investment	20000000	100	100	2900.000	VND	1	1.00	2900.000	58000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.10%						0
POV	Vung Ang Petroleum	22500000	100	100	3800.000	VND	1	1.00	3800.000	85500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.14%						0
PFL	Petro Dong Do Joint Stock Company	18870000	100	100	2700.000	VND	1	1.00	2700.000	50949000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.09%						0
PCG	PetroVietnam Gas City Investment and Development JSC	23000000	100	100	6100.000	VND	1	1.00	6100.000	140300000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.24%						0
PPS	Petro Vietnam Power Services Joint Stock Company	10000000	100	100	7200.000	VND	1	1.00	7200.000	72000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.12%						0
PSG	Saigon Petroleum Constrution And Investment JSC	10000000	100	100	1300.000	VND	1	1.00	1300.000	13000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.02%						0
PPE	PetroVietnam Power Engineering Consulting JSC	2000000	100	100	35400.000	VND	1	1.00	35400.000	70800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNASPRVND	0.12%						0
DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200.000	VND	1	1.00	39200.000	14803791408000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	24.99%						0
PVD	PVN Drilling & Well Services	70371300	100	100	35000.000	VND	1	1.00	35000.000	2462995500000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	4.16%						0
PVF	PVN Finance	100000000	100	100	8300.000	VND	1	1.00	8300.000	830000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.40%						0
PVS	PVN Technical Services	600000000	100	100	15200.000	VND	1	1.00	15200.000	9120000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	15.39%						0
PVX	PVN Construction	232600000	100	100	5200.000	VND	1	1.00	5200.000	1209520000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	2.04%						0
PVI	PVN Insurance	30000000	100	100	15900.000	VND	1	1.00	15900.000	477000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.81%						0
PGD	PVN Low Pressure Gas Distribution	15000000	100	100	38800.000	VND	1	1.00	38800.000	582000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.98%						0
PVT	PVN Transportation	37518001	100	100	4300.000	VND	1	1.00	4300.000	161327404300.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.27%						0
PGS	PVN Southern Gas	20000000	100	100	17100.000	VND	1	1.00	17100.000	342000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.58%						0
PET	PVN General Services	42900000	100	100	11200.000	VND	1	1.00	11200.000	480480000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.81%						0
PTL	Petro Capital and Infrastructure Investment	209740215	100	100	2900.000	VND	1	1.00	2900.000	608246623500.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.03%						0
PVC	Drilling Mud Corp	50000000	100	100	12700.000	VND	1	1.00	12700.000	635000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	1.07%						0
PVR	PVN Premier Recreation	35000000	100	100	3600.000	VND	1	1.00	3600.000	126000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.21%						0
PVG	PVN Northern Gas	2000000	100	100	9300.000	VND	1	1.00	9300.000	18600000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.03%						0
PXS	Petroleum Equipment Assembly and Metal Structure	59841300	100	100	9400.000	VND	1	1.00	9400.000	562508220000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.95%						0
PSI	PVN Securities Incorporated	157531264	100	100	3600.000	VND	1	1.00	3600.000	567112550400.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.96%						0
PFL	Petro Dong Do Joint Stock Company	52356713	100	100	2700.000	VND	1	1.00	2700.000	141363125100.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.24%						0
PSG	Saigon Petroleum Constrution And Investment JSC	23000000	100	100	1300.000	VND	1	1.00	1300.000	29900000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.05%						0
PVE	PVN Investment Consultancy and Engineering	15000000	100	100	9600.000	VND	1	1.00	9600.000	144000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.24%						0
PXI	Petroleum Industrial and Civil Construction	18000000	100	100	4000.000	VND	1	1.00	4000.000	72000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.12%						0
PPS	Petro Vietnam Power Services Joint Stock Company	250000000	100	100	7200.000	VND	1	1.00	7200.000	1800000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	3.04%						0
PXT	Petroleum Pipeline and Tank Construction	18870000	100	100	4200.000	VND	1	1.00	4200.000	79254000000.00 	2012/09/13	0:00:00		  	  	VND	PVNCOPRVND	0.13%						0
