DATE	YYYYMMDD	YYYYMM	YYYY	MARKET	VLM	TRN
2012/12/07	20121207	200508	2005	HSX	7072160	175515000000
2012/12/07	20121207	200507	2005	HSX	5732070	127218000000
2012/12/07	20121207	200506	2005	HSX	5169320	112720000000
2012/12/07	20121207	200505	2005	HSX	2918200	70444000000
2012/12/07	20121207	200504	2005	HSX	4758250	118485000000
2012/12/07	20121207	200503	2005	HSX	5686650	148658000000
2012/12/07	20121207	200502	2005	HSX	1289560	32337000000
2012/12/07	20121207	200501	2005	HSX	2168260	51251000000
2012/12/07	20121207	200412	2004	HSX	4253690	111208000000
2012/12/07	20121207	200411	2004	HSX	2881500	73490000000
2012/12/07	20121207	200410	2004	HSX	3004050	71208000000
2012/12/07	20121207	200409	2004	HSX	1823340	41712000000
2012/12/07	20121207	200408	2004	HSX	4313390	102475000000
2012/12/07	20121207	200407	2004	HSX	2863580	65572000000
2012/12/07	20121207	200406	2004	HSX	3654230	95738000000
2012/12/07	20121207	200405	2004	HSX	3126930	77477000000
2012/12/07	20121207	200404	2004	HSX	5325100	156107000000
2012/12/07	20121207	200403	2004	HSX	15562370	493475000000
2012/12/07	20121207	200402	2004	HSX	12333840	324912000000
2012/12/07	20121207	200401	2004	HSX	4039880	87628000000
2012/12/07	20121207	200312	2003	HSX	3762170	69414000000
2012/12/07	20121207	200311	2003	HSX	4070260	69174000000
2012/12/07	20121207	200310	2003	HSX	1512700	23915000000
2012/12/07	20121207	200309	2003	HSX	1027460	15128000000
2012/12/07	20121207	200308	2003	HSX	1303820	21102000000
2012/12/07	20121207	200307	2003	HSX	1017820	17003000000
2012/12/07	20121207	200306	2003	HSX	1556390	27209000000
2012/12/07	20121207	200305	2003	HSX	2374700	43341000000
2012/12/07	20121207	200304	2003	HSX	2627600	44425000000
2012/12/07	20121207	200303	2003	HSX	1804200	32467000000
2012/12/07	20121207	200302	2003	HSX	1294100	24136000000
2012/12/07	20121207	200301	2003	HSX	1228000	24788000000
2012/12/07	20121207	200212	2002	HSX	2227700	49902000000
2012/12/07	20121207	200211	2002	HSX	1415100	29922000000
2012/12/07	20121207	200210	2002	HSX	1817400	39158000000
2012/12/07	20121207	200209	2002	HSX	1886500	42874000000
2012/12/07	20121207	200208	2002	HSX	2809800	69800000000
2012/12/07	20121207	200207	2002	HSX	2788400	74468000000
2012/12/07	20121207	200206	2002	HSX	1883100	54237000000
2012/12/07	20121207	200205	2002	HSX	4357100	130207000000
2012/12/07	20121207	200204	2002	HSX	3232400	92706000000
2012/12/07	20121207	200203	2002	HSX	3774300	101059000000
2012/12/07	20121207	200202	2002	HSX	1437900	39947000000
2012/12/07	20121207	200201	2002	HSX	2011300	60194000000
2012/12/07	20121207	200112	2001	HSX	1305000	49554000000
2012/12/07	20121207	200111	2001	HSX	1227300	58383000000
2012/12/07	20121207	200110	2001	HSX	1127900	41263000000
2012/12/07	20121207	200109	2001	HSX	1781000	76065000000
2012/12/07	20121207	200108	2001	HSX	2103200	106327000000
2012/12/07	20121207	200107	2001	HSX	1934200	143972000000
2012/12/07	20121207	200106	2001	HSX	1936100	155896000000
2012/12/07	20121207	200105	2001	HSX	9022	54839000000
2012/12/07	20121207	200104	2001	HSX	1488900	73795000000
2012/12/07	20121207	200103	2001	HSX	1664400	69936000000
2012/12/07	20121207	200102	2001	HSX	1418800	61489000000
2012/12/07	20121207	200101	2001	HSX	8407	31830000000
2012/12/07	20121207	200012	2000	HSX	892	28613000000
2012/12/07	20121207	200011	2000	HSX	8653	23133000000
2012/12/07	20121207	200010	2000	HSX	6694	14700000000
2012/12/07	20121207	200009	2000	HSX	6417	12646000000
2012/12/07	20121207	200008	2000	HSX	5581	10876000000
2012/12/07	20121207	200007	2000	HSX	145	247000000
2012/12/07	20121207	200006	2000	HSX	0	0
2012/12/07	20121207	201212	2012	HNX	96508800	544572530000
2012/12/07	20121207	201211	2012	HNX	481191600	2794321750000
2012/12/07	20121207	201210	2012	HNX	589711800	3984859450000
2012/12/07	20121207	201209	2012	HNX	454399600	3404426930000
2012/12/07	20121207	201208	2012	HNX	753175000	6369144530000
2012/12/07	20121207	201207	2012	HNX	753338100	6528384590000
2012/12/07	20121207	201206	2012	HNX	799127900	7660065700000
2012/12/07	20121207	201205	2012	HNX	1472893300	15080413660000
2012/12/07	20121207	201204	2012	HNX	1539572100	15348592020000
2012/12/07	20121207	201203	2012	HNX	1961111600	18019980330000
2012/12/07	20121207	201202	2012	HNX	1120685300	8637940620000
2012/12/07	20121207	201201	2012	HNX	305395600	2124176670000
2012/12/07	20121207	201112	2011	HNX	555289300	4593671340000
2012/12/07	20121207	201111	2011	HNX	514372500	4810331830000
2012/12/07	20121207	201110	2011	HNX	599429600	5967316860000
2012/12/07	20121207	201109	2011	HNX	1049318700	11769347550000
2012/12/07	20121207	201108	2011	HNX	727895900	7622282000000
2012/12/07	20121207	201107	2011	HNX	359856800	3844994660000
2012/12/07	20121207	201106	2011	HNX	870763200	10207885550000
2012/12/07	20121207	201105	2011	HNX	477413000	5512229090000
2012/12/07	20121207	201104	2011	HNX	411733000	5700101940000
2012/12/07	20121207	201103	2011	HNX	679610700	10301351810000
2012/12/07	20121207	201102	2011	HNX	360200800	6198689610000
2012/12/07	20121207	201101	2011	HNX	445624000	8284695810000
2012/12/07	20121207	201012	2010	HNX	1220594200	23779290920000
2012/12/07	20121207	201011	2010	HNX	581070700	10291997650000
2012/12/07	20121207	201010	2010	HNX	473000200	10051854120000
2012/12/07	20121207	201009	2010	HNX	744062500	18213938500000
2012/12/07	20121207	201008	2010	HNX	640845500	15355448700000
2012/12/07	20121207	201007	2010	HNX	749477500	21575654810000
2012/12/07	20121207	201006	2010	HNX	753142500	23686610250000
2012/12/07	20121207	201005	2010	HNX	887740500	29478546740000
2012/12/07	20121207	201004	2010	HNX	896934700	31457487460000
2012/12/07	20121207	201003	2010	HNX	653997400	21803907210000
2012/12/07	20121207	201002	2010	HNX	175802700	5650184550000
2012/12/07	20121207	201001	2010	HNX	493624300	17022363690000
2012/12/07	20121207	200912	2009	HNX		
2012/12/07	20121207	200911	2009	HNX		21214598000000
2012/12/07	20121207	200910	2009	HNX		
2012/12/07	20121207	200909	2009	HNX		
2012/12/07	20121207	200908	2009	HNX		
2012/12/07	20121207	200907	2009	HNX		
2012/12/07	20121207	200906	2009	HNX		
2012/12/07	20121207	200905	2009	HNX		
2012/12/07	20121207	200904	2009	HNX		9157202900000
2012/12/07	20121207	200903	2009	HNX		
2012/12/07	20121207	200902	2009	HNX		
2012/12/07	20121207	200901	2009	HNX	36280300	743491450000
2012/12/07	20121207	200812	2008	HNX	136874500	3067684670000
2012/12/07	20121207	200811	2008	HNX	167032300	4512373810000
2012/12/07	20121207	200810	2008	HNX	189692400	5458884590000
2012/12/07	20121207	200809	2008	HNX	216118800	8250264920000
2012/12/07	20121207	200808	2008	HNX	206801200	8270923170000
2012/12/07	20121207	200807	2008	HNX	168372000	5002062520000
2012/12/07	20121207	200806	2008	HNX	69351000	1474702040000
2012/12/07	20121207	200805	2008	HNX	26138600	805928420000
2012/12/07	20121207	200804	2008	HNX	57004600	2356211090000
2012/12/07	20121207	200803	2008	HNX	100717400	5158264260000
2012/12/07	20121207	200802	2008	HNX	62543000	4335037560000
2012/12/07	20121207	200801	2008	HNX	67093500	5391875110000
2012/12/07	20121207	200712	2007	HNX	54189100	5369596100000
2012/12/07	20121207	200711	2007	HNX	69573300	7517914090000
2012/12/07	20121207	200710	2007	HNX	129069400	14349916830000
2012/12/07	20121207	200709	2007	HNX	39450600	3649260380000
2012/12/07	20121207	200708	2007	HNX	20217700	1917147450000
2012/12/07	20121207	200707	2007	HNX	21057600	2131618990000
2012/12/07	20121207	200706	2007	HNX	24439900	2515070390000
2012/12/07	20121207	200705	2007	HNX	33911000	4068252450000
2012/12/07	20121207	200704	2007	HNX	23754000	2854547520000
2012/12/07	20121207	200703	2007	HNX	62243600	6880946960000
2012/12/07	20121207	200702	2007	HNX	40393200	3578889060000
2012/12/07	20121207	200701	2007	HNX	55371000	4754786320000
2012/12/07	20121207	200612	2006	HNX	24457800	1700805310000
2012/12/07	20121207	200611	2006	HNX	6255100	221117206000
2012/12/07	20121207	200610	2006	HNX	3268500	89596630000
2012/12/07	20121207	200609	2006	HNX	3927000	109651740000
2012/12/07	20121207	200608	2006	HNX	5941100	159744250000
2012/12/07	20121207	200607	2006	HNX	2910100	74773540000
2012/12/07	20121207	200606	2006	HNX	6821000	220562940000
2012/12/07	20121207	200605	2006	HNX	5754300	203890070000
2012/12/07	20121207	200604	2006	HNX	3891200	112588930000
2012/12/07	20121207	200603	2006	HNX	1411000	30136190000
2012/12/07	20121207	200602	2006	HNX	154100	1987640000
2012/12/07	20121207	200601	2006	HNX	61700	791680000
2012/12/07	20121207	200512	2005	HNX	161400	2043430000
2012/12/07	20121207	200511	2005	HNX	102800	1596840000
2012/12/07	20121207	200510	2005	HNX	0	0
