TIME	USERNAME	URL
2014-07-29 07:15:11	phuong	http://localhost/ifrcdata2/backend/events/prepare/history
2014-07-29 07:15:13	phuong	http://localhost/ifrcdata2/backend/events/prepare/history
2014-07-29 07:15:13	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:15:13	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:15:18	phuong	http://localhost/ifrcdata2/backend/events/edit/46440
2014-07-29 07:15:46	phuong	http://localhost/ifrcdata2/backend/events/edit/46440
2014-07-29 07:15:46	phuong	http://localhost/ifrcdata2/backend/events/prepare
2014-07-29 07:15:48	phuong	http://localhost/ifrcdata2/backend/events/prepare
2014-07-29 07:15:48	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:15:48	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:15:49	phuong	http://localhost/ifrcdata2/backend/events/prepare/history
2014-07-29 07:15:50	phuong	http://localhost/ifrcdata2/backend/events/prepare/history
2014-07-29 07:15:51	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:15:51	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:15:55	phuong	http://localhost/ifrcdata2/backend/events/edit/46463
2014-07-29 07:20:15	phuong	http://localhost/ifrcdata2/backend/events/edit/46463
2014-07-29 07:20:16	phuong	http://localhost/ifrcdata2/backend/events/prepare
2014-07-29 07:20:17	phuong	http://localhost/ifrcdata2/backend/events/prepare
2014-07-29 07:20:18	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:20:18	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:20:19	phuong	http://localhost/ifrcdata2/backend/events/prepare/history
2014-07-29 07:20:20	phuong	http://localhost/ifrcdata2/backend/events/prepare/history
2014-07-29 07:20:20	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:20:20	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:20:23	phuong	http://localhost/ifrcdata2/backend/events/edit/46428
2014-07-29 07:20:34	phuong	http://localhost/ifrcdata2/backend/events/edit/46428
2014-07-29 07:20:35	phuong	http://localhost/ifrcdata2/backend/events/prepare
2014-07-29 07:20:36	phuong	http://localhost/ifrcdata2/backend/events/prepare
2014-07-29 07:20:36	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:20:36	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:20:42	phuong	http://localhost/ifrcdata2/backend/events/prepare/history
2014-07-29 07:20:43	phuong	http://localhost/ifrcdata2/backend/events/prepare/history
2014-07-29 07:20:43	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:20:43	phuong	http://localhost/ifrcdata2/backend/translate/getTrans
2014-07-29 07:20:48	phuong	http://localhost/ifrcdata2/backend/events/edit/46365
